run,task,method,model,num_samples,llm_calls,best_score,best_sample_order,breakthrough_count,breakthrough_rate_w10,first_breakthrough_window,last_breakthrough_window,n_windows,best_update_event_count,strict_fitness_event_count,tie_shorter_count,unclassified_best_update_count,lrr,mean_delta,mean_pcd,n_edges,avg_novelty,init_novelty,mean_h_spatial,mean_h_fitness,operator_mix
v6_20260801_183249_obp_v6_rep1,online_bin_packing,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1486,-724.25,652,7,0.07,1.0,66.0,100,8,7,1,0,0.06827731092436974,-107.4375,0.15146743401517884,952,0.08810089947219495,0.3065400122502174,2.2692380144005,2.268981692659081,"{""init"": 30, ""trace_ideate"": 419, ""trace_refine"": 423, ""trace_synthesize"": 56, ""trace_transfer"": 54}"
v6_20260801_183249_obp_v6_rep2,online_bin_packing,version6,qwen3.6-27b-awq,1000,1502,-738.5,996,1,0.01,100.0,100.0,100,6,1,5,0,0.013499480789200415,-274.38317757009344,0.05397036418738467,963,0.030223170437163775,0.2201591499459684,2.2548204951532087,2.254443427423118,"{""init"": 30, ""trace_ideate"": 544, ""trace_refine"": 371, ""trace_synthesize"": 28, ""trace_transfer"": 20}"
v6_20260801_183249_obp_v6_rep3,online_bin_packing,version6,Qwen3.6-27B,1000,1484,-726.0,814,15,0.14,1.0,78.0,100,23,15,8,0,0.1125,-206.33385416666667,0.1196465058273252,960,0.06680902465411875,0.25836256176283956,2.2794378740628045,2.2788065799149577,"{""init"": 30, ""trace_ideate"": 447, ""trace_refine"": 374, ""trace_transfer"": 73, ""trace_synthesize"": 66}"
20260723_204526_opaco_v4_rep1,op_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1485,14.919999999999998,495,12,0.11,1.0,50.0,100,12,0,0,12,0.060767590618336885,-0.3618272921108741,0.09243004213551333,938,0.08683314682767454,0.19985554552231397,2.253771492417227,2.2531352838837098,"{""init"": 26, ""trace_refine"": 462, ""trace_ideate"": 476}"
20260723_204526_opaco_v4_rep2,op_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1488,14.920000000000002,882,21,0.19,1.0,89.0,100,21,0,0,21,0.13519553072625698,-0.3066703910614528,0.07930443530192868,895,0.07274585985830254,0.20500174917085728,2.1988141495824287,2.1985613733736513,"{""init"": 24, ""trace_refine"": 470, ""trace_ideate"": 425}"
20260723_204526_opaco_v4_rep3,op_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1488,14.806000000000001,662,17,0.14,1.0,67.0,100,17,0,0,17,0.1188118811881188,-0.34353575357535765,0.08033294884304203,909,0.07343916099228481,0.19248949976495786,2.2190441332745325,2.218134440650603,"{""init"": 26, ""trace_refine"": 443, ""trace_ideate"": 466}"
20260728_151736_opaco_v5_rep1,op_aco,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1485,14.857999999999999,963,11,0.09,1.0,25.0,100,26,11,15,0,0.12307692307692308,-0.696276923076923,0.045355167357030525,910,0.034959055301818184,0.2396944143627892,2.208684514451082,2.206010788982232,"{""init"": 30, ""trace_ideate"": 222, ""trace_transfer"": 194, ""trace_refine"": 234, ""trace_synthesize"": 260}"
20260728_151736_opaco_v5_rep2,op_aco,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1483,14.857999999999999,944,22,0.19,1.0,89.0,100,39,22,17,0,0.12964930924548354,-0.478695005313496,0.08753478623781222,941,0.05956040640221477,0.2040454660833796,2.2469320627157034,2.245815122928154,"{""init"": 30, ""trace_ideate"": 238, ""trace_synthesize"": 225, ""trace_refine"": 245, ""trace_transfer"": 233}"
20260728_151736_opaco_v5_rep3,op_aco,version5,Qwen3.6-27B,1000,1485,14.971999999999998,978,21,0.18,1.0,90.0,100,42,21,21,0,0.2010752688172043,-0.3225655913978492,0.06982282990215401,930,0.043823192445972325,0.19585609415613642,2.229089773095034,2.2275476286880687,"{""init"": 30, ""trace_refine"": 196, ""trace_transfer"": 260, ""trace_ideate"": 238, ""trace_synthesize"": 236}"
v6_20260801_183249_opaco_v6_rep1,op_aco,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1492,14.819999999999999,939,15,0.11,1.0,94.0,100,17,15,2,0,0.11559432933478735,-1.1064601962922571,0.15197663802273886,917,0.09997134343302352,0.19557241453188307,2.23354828962407,2.232044643283662,"{""init"": 30, ""trace_ideate"": 375, ""trace_refine"": 410, ""trace_synthesize"": 51, ""trace_transfer"": 81}"
v6_20260801_183249_opaco_v6_rep2,op_aco,version6,qwen3.6-27b-awq,1000,1490,14.798000000000002,979,14,0.13,4.0,93.0,100,23,13,10,0,0.12050739957716702,-0.6060507399577162,0.15809360750860513,946,0.10117050333680742,0.2038641072205509,2.2607220174420206,2.2592159599405135,"{""init"": 30, ""trace_ideate"": 372, ""trace_refine"": 436, ""trace_synthesize"": 60, ""trace_transfer"": 78}"
v6_20260801_183249_opaco_v6_rep3,op_aco,version6,Qwen3.6-27B,1000,1496,14.455999999999998,960,12,0.1,1.0,48.0,100,16,12,4,0,0.08562367864693446,-1.2540317124735725,0.12291113449130803,946,0.08616865486657957,0.19465551256477892,2.2621372187286353,2.2606793421230797,"{""init"": 30, ""trace_ideate"": 435, ""trace_refine"": 371, ""trace_synthesize"": 74, ""trace_transfer"": 66}"
20260723_181743_tspc_v4_rep1,tsp_construct,version4,Qwen3.6-27B,1000,1499,-5.907947626173445,974,31,0.26,1.0,98.0,100,31,0,0,31,0.1462882096069869,-0.5453093137081544,0.09974765898919488,916,0.09731110729866513,0.30180049364121414,2.2303686037326043,2.2300249193924375,"{""init"": 28, ""trace_refine"": 488, ""trace_ideate"": 428}"
20260723_181743_tspc_v4_rep2,tsp_construct,version4,Qwen3.6-27B,1000,428,-5.996921651581635,996,18,0.15,1.0,100.0,100,18,0,0,18,0.12758996728462377,-0.3702784631377142,0.08310024314871209,917,0.08394704621924932,0.3792717004929404,2.22803786637657,2.2275440145570538,"{""init"": 30, ""trace_refine"": 433, ""trace_ideate"": 484}"
20260723_181743_tspc_v4_rep3,tsp_construct,version4,Qwen3.6-27B,1000,1497,-6.02444936682868,898,30,0.25,1.0,90.0,100,30,0,0,30,0.1487778958554729,-0.4755100871045793,0.13165861611573448,941,0.12023414331688559,0.31593658511971995,2.2593869053872813,2.2591322626358252,"{""init"": 28, ""trace_ideate"": 448, ""trace_refine"": 493}"
20260728_151736_tspc_v5_rep1,tsp_construct,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1491,-6.023966709015177,986,26,0.19,1.0,97.0,100,34,26,8,0,0.17307692307692307,-0.7261311874511605,0.1355404289817799,936,0.09554365874455088,0.3537047111968085,2.235727103511872,2.2345248407247347,"{""init"": 30, ""trace_ideate"": 228, ""trace_transfer"": 243, ""trace_synthesize"": 238, ""trace_refine"": 227}"
20260728_151736_tspc_v5_rep2,tsp_construct,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1500,-6.0238494222580705,988,26,0.24,1.0,99.0,100,37,26,11,0,0.15350389321468297,-0.599484371883993,0.1665927663193298,899,0.11514670900430447,0.33099313765241195,2.2029760214480807,2.2027466308734605,"{""init"": 30, ""trace_ideate"": 225, ""trace_synthesize"": 217, ""trace_refine"": 231, ""trace_transfer"": 226}"
20260728_151736_tspc_v5_rep3,tsp_construct,version5,Qwen3.6-27B,1000,1487,-6.1268440991590385,927,14,0.12,1.0,93.0,100,28,14,14,0,0.11721991701244813,-0.4162501522361,0.08572181121810926,964,0.06467888237142759,0.33096603390842627,2.2650562395495037,2.26421192979881,"{""init"": 30, ""trace_refine"": 235, ""trace_transfer"": 285, ""trace_ideate"": 219, ""trace_synthesize"": 225}"
v6_20260801_183249_tspc_v6_rep1,tsp_construct,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1502,-6.023773799099958,887,19,0.18,1.0,89.0,100,23,19,4,0,0.09932279909706546,-1.5245018556207854,0.24684833304989473,886,0.19349507184112918,0.361332635638566,2.199387496188781,2.198488588607294,"{""init"": 30, ""trace_refine"": 393, ""trace_ideate"": 384, ""trace_synthesize"": 55, ""trace_transfer"": 54}"
v6_20260801_183249_tspc_v6_rep2,tsp_construct,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1493,-5.8869273611407555,958,24,0.21,2.0,96.0,100,34,24,10,0,0.12753277711561384,-0.9134669302756494,0.16994401797819178,839,0.1407690337642443,0.37885994711592025,2.1301650744273637,2.129400456617256,"{""init"": 30, ""trace_ideate"": 327, ""trace_refine"": 358, ""trace_transfer"": 86, ""trace_synthesize"": 68}"
v6_20260801_183249_tspc_v6_rep3,tsp_construct,version6,qwen3.6-27b-awq,1000,1498,-6.029421297405648,997,22,0.2,1.0,91.0,100,38,22,16,0,0.12921348314606743,-1.1705601234926781,0.1766020429210814,890,0.13164546659238735,0.2955555765893518,2.1981347692546165,2.1970908096655406,"{""init"": 30, ""trace_ideate"": 311, ""trace_refine"": 432, ""trace_synthesize"": 69, ""trace_transfer"": 78}"
20260711_115024,cvrp_aco,mcts_ahd,qwen3.6-27b-awq,1000,2099,-8.748027892553349,791,18,0.15,1.0,80.0,100,0,0,0,0,0.24245689655172414,-1.3502687166366936,0.1598803604920539,928,0.10255812828314781,0.19091915680590799,2.2457769821017464,2.2445883547438257,"{""i1"": 1, ""e1"": 31, ""e2"": 189, ""m1"": 298, ""m2"": 296, ""s1"": 145}"
20260712_021911,cvrp_aco,mcts_ahd,qwen3.6-27b-awq,1000,2112,-8.739437070051995,875,39,0.31,1.0,88.0,100,0,0,0,0,0.251959686450168,-1.4196491141715681,0.19089200184053556,893,0.13866381442773906,0.18672211697951135,2.208071744637883,2.2071720677421838,"{""i1"": 1, ""e1"": 31, ""e2"": 186, ""m1"": 283, ""m2"": 286, ""s1"": 137}"
