run,task,method,window,n_nodes,mean_novelty,h_spatial,h_fitness,breakthrough
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,54,9,0.05827665789009565,2.18949102979782,2.1895194854841016,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,55,10,0.05402204640749546,2.28155565918122,2.2814106730307464,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,56,10,0.03719274487503579,2.2819912825129554,2.2819854689032635,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,57,9,0.05359594148297572,2.191327016613322,2.191337604221497,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,58,8,0.05417158083678689,2.075228929252678,2.0752302135957197,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,59,9,0.06962519115748456,2.179921924902183,2.1797201480154516,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,60,9,0.0437598074516767,2.1823836055252235,2.1824604555022358,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,61,8,0.04616397942402207,2.0707678878214644,2.070727766472496,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,62,10,0.061481653454137176,2.2926999908902297,2.2926870528161203,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,63,10,0.049515795539166234,2.294396484535567,2.2943974818481694,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,64,8,0.047325221723042404,2.074753895456121,2.0747615371856383,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,65,9,0.0383460798839783,2.1845616681829956,2.184260188839441,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,66,10,0.061380689844438716,2.261852164941906,2.2608281515193327,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,67,9,0.08888242400943702,2.1905983166257474,2.190560227398101,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,68,9,0.041137482975901245,2.177779492641824,2.177515090470443,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,69,10,0.14457014651221775,2.2752044613876157,2.2736452553656488,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,70,8,0.04771276695755565,2.071332771769406,2.071337477593571,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,71,9,0.08099517336313275,2.1842729479804497,2.184809081309871,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,72,9,0.05034915734809068,2.179548453089039,2.1795420921019857,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,73,9,0.06763031522059705,2.1884648380467153,2.1884255844327334,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,74,10,0.04823881776331807,2.292631073221249,2.29245154970138,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,75,10,0.06789372206356675,2.289037015310853,2.289062139709635,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,76,9,0.0557662256717732,2.1892749996005314,2.189257737715402,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,77,9,0.033030724303404396,2.1850617401970527,2.1850025679165355,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,78,10,0.04543140270708815,2.2633430894436923,2.261739874042066,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,79,9,0.04898325136699603,2.185670162765502,2.1843402389502673,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,80,8,0.04737391147862871,2.0719779202066686,2.071942498387614,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,81,8,0.050707126013986165,2.0711693604670804,2.0711276765479756,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,82,10,0.04276455739603786,2.286093776054327,2.286263876303933,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,83,9,0.05257938940444258,2.195780162271077,2.1957552316663147,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,84,9,0.050832355961061025,2.1911394401269186,2.191128054178697,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,85,10,0.05076415423634693,2.295039074232873,2.2950802928396996,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,86,10,0.04904070295890352,2.291992807351987,2.292422588294226,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,87,10,0.04677498375266077,2.2949003844935447,2.293778728962643,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,88,8,0.048805691452217734,2.0707004102110074,2.070991462913476,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,89,10,0.05416796726827686,2.278859135132933,2.2787902164822875,0
