task,version,run,sample_order,prompt_sha256,logged_prompt_tokens_raw,recounted_raw_tokens,recounted_chat_tokens,component_current_program_tokens,component_history_tokens,component_instruction_tokens,component_operator_direction_tokens,component_reference_history_tokens,component_reference_program_tokens,component_target_signature_tokens,component_task_tokens
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,851,65d843e5e3bdb4fea9abd54635b741e60268466c055c59decd81268eac9a2e44,7709,7709,7721,3842,3557,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,768,a11b7dcd23b9e6d46fdfefe7964b83acf13fd9dc4ad61625223c09bc84cc872d,7838,7838,7850,3808,3720,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,963,0c7b8f646056f118d4f1d5faf8e4b18562cf4f81a7b3610fe655277d2c9c5273,7633,7633,7645,3972,3351,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,997,a9c7186f53973ddaea80fc598f5c7c97ab07fbdd950d9eb54f961f2ea2643990,5818,5818,5830,1821,3687,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,739,2b84b8adff89e9a9a7d9e0841de37edc235bfb2b41a830542136573b20dfb02f,5770,5770,5782,2031,3429,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,419,9e31af99540aaf14b479604ac00d4e262c8da2cffdca9f4aebb3dcb670356938,7434,7434,7446,3489,3635,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,838,7b680c5ba19f56d523a52ab7cba7cd338ff94c798efacc128266fb10fd0c1dba,7488,7488,7500,3829,3349,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,602,188e8d5038be2a46152ffbe57a3a37a55805a001f4b5296684f0a3836fa94a81,7773,7773,7785,3826,3637,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,913,43ed958ceee06ff872bfeacba002b1c4756c08714db1469b8d232d58951a5930,7672,7672,7684,3841,3521,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,390,503ba5c9c4995c5cf38ee0f4c59b48000061c9c5ebb0d896ceba1142f9d0fd42,5452,5452,5464,2290,2852,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,758,c77dc97243dcef174ee568efa0622309ff19def5af4e97df047633b1db3cdf18,7787,7787,7799,3817,3660,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,981,3a335a3c92c37441f8cec1b409933e74586131b75108fb01c0366a50200dcba8,5846,5846,5858,2033,3503,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,237,6e1bbaba20b8b46ffeadb86566ef31bbb65ae7097b953b8dcaf27b07af4cd273,5522,5522,5534,1964,3248,139,0,0,0,0,171
op,v9,v9_20260807_123753_v9_op_rep3,786,5d9ae915ce76d2ae1bb9d4aad10abe011fd99ce22a6d16c18eb2799904bbc655,3246,3246,3258,1699,1072,122,31,0,0,162,160
op,v9,v9_20260807_123753_v9_op_rep2,803,050f5027b76e4edd3dd89d0cbaabdb574b4a26e6d85d0aff76bf711c3c80bbd7,3895,3895,3907,1697,968,122,33,26,727,162,160
op,v9,v9_20260807_123753_v9_op_rep2,442,dc9a2f363ab02510800a6ee9e684cad026cfbb2f3c93783ab358c0cc0a5c00cf,4842,4842,4854,2486,869,122,33,26,984,162,160
op,v9,v9_20260807_123753_v9_op_rep2,739,6c26d9ed376c24972a3fa265f6a3ae7344ea6f9dfe6eef9737d052279e27d60b,5966,5966,5978,3543,1036,122,33,26,884,162,160
op,v9,v9_20260807_123753_v9_op_rep3,854,d3d6b6894a130a56294f9255f2bf65839b8036aa17bee862d6575518bd0e8a8f,3725,3725,3737,2172,1078,122,31,0,0,162,160
